BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t30,614978.2491611068,3174.051414452039,-0.13286464433273035,0.0,0.0,0.0,9.132902229016049e-5,33311.90797928007,-0.0,-656462.8013153124,704027.0055222297,43592.234313215384,-205448.3779727289,0.0,0.0,0.0,9.935672364540517e-5,-32717.551066573098,-0.0,-490567.1443621763,341437.53753963165,27088.580070932818,-183722.40749110575,0.0,0.0,0.0,0.00010264720585003055,-594.3569127069732,-0.0,-179506.2489409645
t31,1.102923244229476e6,0.13989140757041624,-423571.4969289286,0.0,0.0,0.0,9.007575970625294e-5,16009.79726634426,-0.0,-691810.4003353205,1.1240028226947994e6,23810.17095046218,-577941.0199352811,0.0,0.0,0.0,9.786370111927674e-5,-15402.452568731525,-0.0,-535518.573018709,406357.25437243533,16271.886912541728,-215968.02706561855,0.0,0.0,0.0,0.00010193498383933767,-607.3446976127343,-0.0,-201350.73189161453
t32,1.4027370251351502e6,22414.806438171734,-706437.7821835831,0.0,0.0,0.0,8.880765989869857e-5,16525.24267531964,-0.0,-731687.8266488342,1.2223850372713862e6,14890.488494297806,-624736.3681026226,0.0,0.0,0.0,9.614920115046502e-5,-16980.49496483161,-0.0,-576607.6965909974,424906.0558013456,16917.97424127032,-215122.1257915176,0.0,0.0,0.0,0.00010183411732588547,455.25228951196914,-0.0,-222454.1061325929
t33,1.5280919771517073e6,10565.566415571884,-762731.0313852372,0.0,0.0,0.0,8.676377392045034e-5,7996.886718596041,-0.0,-780371.9730304325,1.2547065149309516e6,13238.377327661981,-628187.399578636,0.0,0.0,0.0,9.412755088851276e-5,-8676.477631462372,-0.0,-612130.0236334127,435302.63268313446,18037.742566961613,-212453.69985468607,0.0,0.0,0.0,0.00010186247250552015,679.5909128663316,-0.0,-236863.20334030755
t34,1.587201432494905e6,9727.287623302836,-765948.0695826368,0.0,0.0,0.0,8.438775889568032e-5,5633.557253900792,-0.0,-833062.8321323016,1.2854053150086396e6,13041.694066832568,-628174.3567937226,0.0,0.0,0.0,9.27899911790297e-5,-6153.507896426636,-0.0,-645168.1450582625,449337.02069414564,17289.813751551508,-216006.84874157485,0.0,0.0,0.0,0.00010243756671538893,519.9506425258442,-0.0,-246436.8699504923
t35,1.63657009844844e6,10751.429431425287,-762840.3775385922,0.0,0.0,0.0,8.271006206569967e-5,6410.577468403266,-0.0,-887340.2804892565,1.3093507689151063e6,13456.406672934694,-625924.344180392,0.0,0.0,0.0,9.161151941252502e-5,-6894.111698197923,-0.0,-671037.7315380204,456856.6414650211,17262.241000504247,-215899.54285663503,0.0,0.0,0.0,0.00010265101939067811,483.5342297946572,-0.0,-253999.8235860761
t36,1.6750017611170202e6,12577.696008650366,-754510.7988058913,0.0,0.0,0.0,8.128017245293001e-5,9226.320966969219,-0.0,-938743.472949317,1.327673228587921e6,14144.367541780453,-622439.8453068912,0.0,0.0,0.0,9.036881065846966e-5,-9805.531024727363,-0.0,-690621.2502750334,457094.69839288667,18181.41151997302,-212286.65176509088,0.0,0.0,0.0,0.00010251223316089266,579.2100577581441,-0.0,-258865.62749137942
t37,1.7050693740662364e6,15459.832050322137,-739894.9874070826,0.0,0.0,0.0,8.03265529585594e-5,11051.995132895954,-0.0,-988134.6862815514,1.3461777372073769e6,15871.302087919426,-614419.143801064,0.0,0.0,0.0,8.961293314334922e-5,-11595.763694590725,-0.0,-717083.177753627,456076.94363456534,19014.73976218952,-207893.49705810146,0.0,0.0,0.0,0.00010297401624777231,543.768561694771,-0.0,-263038.91997944855
t38,1.695911120472312e6,23019.842894449175,-691563.169201588,0.0,0.0,0.0,7.946901238092352e-5,13577.365302462713,-0.0,-1.0373936838425285e6,1.35478014945235e6,19290.021787748767,-599410.9507982128,0.0,0.0,0.0,8.8648430933427e-5,-14429.775840079765,-0.0,-741278.4942672884,432387.43833120604,23131.91658233473,-184742.03982698856,0.0,0.0,0.0,0.00010319215945887462,852.4105376170519,-0.0,-266926.7033744474
t39,1.6867297708064632e6,29183.843759817697,-645132.2651675981,0.0,0.0,0.0,7.850299886508366e-5,13835.208094329413,-0.0,-1.081065127939943e6,1.3585474343791523e6,23117.78484589687,-583018.0635200494,0.0,0.0,0.0,8.698629576225457e-5,-14433.947793831769,-0.0,-765262.2604242229,405705.0577725682,28553.62332059874,-160925.53304548832,0.0,0.0,0.0,0.00010267604828459184,598.7396995023555,-0.0,-269229.0001036733
