,Power Emissions,HSC Emissions,CSC Emissions,Biorefinery Emissions,Bioresource Emissions,Biomass Capture,Conventional NG,Syn NG Plant Emissions,Syn NG,Bio NG,Conventional Liquid Fuels,Synfuel Plant Emissions,Synfuels,Biofuels,Ethylene Emissions,Total
t84,44980.357190176925,0.3802452881829424,-0.09577372264746116,16843.73838260787,0.0,-77304.86444473386,0.12474089820728679,0.13575127020056432,0.026332608998479203,12295.439553967968,3317.2819352167107,7230.8635838242,6489.568568070121,4187.560477767822,179.18270425952318,18219.699247500215
t85,44980.78175573556,0.3802436554020653,-0.09565305603410353,16843.737390386843,0.0,-77304.85890743823,0.1250940588614783,0.13618648500467934,0.026382571432102788,12295.43912327925,3317.2827506864005,7230.86420094885,6489.569046980934,4187.560422593015,179.1827149016167,18220.1307517889
t86,44981.86708768925,0.38024010651962015,-0.0952775672863842,16843.735932019266,0.0,-77304.85283708441,0.12618135593693608,0.13664108173450643,0.026447848778942858,12295.437960629943,3317.2818773014387,7230.865218210414,6489.570290020732,4187.560364440049,179.18270762793668,18221.222833680295
t87,47128.63646855419,0.38023736844141576,-0.09486958740557849,16843.733616269248,0.0,-77304.84373161539,0.12808641717951758,0.13720573048445864,0.0265283081258805,12295.435974306623,3317.2789013167762,7230.867024348076,6489.572824518431,4187.560286725187,179.18270478032812,20368.001257440304
t88,49402.49478610955,0.3802203838483619,-0.09339381455379273,16843.690504975293,0.0,-77304.71155300926,0.17589442514075787,0.1392035167281757,0.0267774450724959,12295.388753375419,3317.276970377822,7230.870188988611,6489.574495536547,4187.5602180842925,179.18314828568185,22641.956214680195
t89,49019.40183568686,0.380218190859709,-0.09163176853105393,16843.684877241216,0.0,-77304.68729052412,0.17999027670825582,0.1401310096743056,0.026931248837633415,12295.384533038947,3317.2735222205015,7230.871801599524,6489.5770710791285,4187.559987225316,179.1831532852658,22258.885129810187
t90,70017.65701373751,0.3803262890569983,-0.07853752635881606,16843.77043359925,0.0,-77305.27127505642,0.18418847860864762,0.11289968967560485,0.02022299460330082,12295.389469303054,3317.3041974285647,7230.837705400216,6489.519047774049,4187.571301599736,179.1850285778463,43256.58202228938
t91,78120.87460978211,0.38032277180203666,-0.07678530407812474,16843.771394130916,0.0,-77305.28824650691,0.18720503883782302,0.11338320383770707,0.020266568170406996,12295.386978569648,3317.308396104425,7230.835426877917,6489.51313058777,4187.573409142148,179.18539674489332,51359.784887711496
t92,76900.03972793503,0.38032551953880717,-0.07675203171351967,16843.771455089955,0.0,-77305.28831305957,0.1871120672693694,0.11339133497795587,0.0202653745543956,12295.387083699427,3317.3061541873763,7230.835822143236,6489.514041337725,4187.573431636828,179.18540325982926,50138.949148494445
t93,76900.14600783281,0.380329305535167,-0.07688607127895204,16843.77250036122,0.0,-77305.29144521886,0.18599393053905036,0.11290690291008913,0.02020636530857971,12295.388260447167,3317.3020078821955,7230.836710377807,6489.515886955287,4187.573427821013,179.1854042013487,50139.051311093
t94,76900.24207639074,0.3803311612128258,-0.07697497315782408,16843.771702901566,0.0,-77305.28881474961,0.1867768086327119,0.11319354951658414,0.02024374451357499,12295.387436687608,3317.3031058532742,7230.836472959912,6489.515348660581,4187.573443461442,179.1853962702704,50139.14973872651
