Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap,MaxAnnualGeneration,AnnualGeneration,CapacityFactor,AnnualEmissions
MIDAT_utilitypv_class1_moderate_70_0_2_7,2,0.0,0.0,484806.36014234193,484806.36014234193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2469037148469152e9,1.1806601578474603e9,0.2780049271472637,0.0
NE_utilitypv_class1_moderate_70_0_2_1,3,0.0,0.0,10.679005314476864,10.679005314476864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93548.08655481733,18350.468363716504,0.1961608092642653,0.0
NE_utilitypv_class1_moderate_70_0_2_2,3,0.0,0.0,3.4615289005333323,3.4615289005333323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30322.99316867199,5689.388327140758,0.18762621141961386,0.0
NE_utilitypv_class1_moderate_70_0_2_3,3,0.0,0.0,1.870201756949468,1.870201756949468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16382.96739087734,2115.4111049676485,0.12912258533491253,0.0
NE_utilitypv_class1_moderate_70_0_2_4,3,0.0,0.0,2.3534714411322986,2.3534714411322986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20616.409824318936,3198.794306251349,0.15515767941700884,0.0
NE_utilitypv_class1_moderate_70_0_2_5,3,0.0,0.0,787811.6078473969,787811.6078473969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9012296847431965e9,1.747264379923124e9,0.25318160092336384,0.0
NE_utilitypv_class1_moderate_70_0_2_6,3,0.0,0.0,3.7030436424121795,3.7030436424121795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32438.662307530692,6485.118491215058,0.19991941806150024,0.0
NE_utilitypv_class1_moderate_70_0_2_7,3,0.0,0.0,13474.827175035225,13474.827175035225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1803948605330858e8,2.2623629071615893e7,0.19166153486468662,0.0
SE_landbasedwind_class4_moderate_70_1,1,0.0,0.0,84057.9762844123,84057.9762844123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.363478722514517e8,2.0247760060406604e8,0.2749754677567982,0.0
SE_landbasedwind_class4_moderate_70_2,1,0.0,0.0,20181.988509215353,20181.988509215353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.767942193407265e8,4.584259603111704e7,0.25929917958893745,0.0
